transaction_year,transaction_month,transaction_day,line,station_name,station_number,town,longitude,latitude,passage_cnt,passanger_cnt,date
2025,7,5,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,2372,2152,2025-07-05
2025,12,18,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,3025,2909,2025-12-18
2025,6,9,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,5886,4582,2025-06-09
2025,12,5,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,15896,14664,2025-12-05
2025,3,28,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,2156,2054,2025-03-28
2025,4,21,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,5324,4953,2025-04-21
2025,7,8,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,6600,6238,2025-07-08
2025,7,10,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3698,3433,2025-07-10
2025,12,2,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,3715,3598,2025-12-02
2025,12,30,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,9183,8881,2025-12-30
2025,2,28,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,4275,4078,2025-02-28
2025,11,23,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2091,1948,2025-11-23
2025,2,6,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,2780,2696,2025-02-06
2025,8,15,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,15757,13530,2025-08-15
2025,12,24,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3374,3201,2025-12-24
2025,12,19,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,3583,3471,2025-12-19
2025,9,10,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3166,2864,2025-09-10
2025,5,2,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3049,2875,2025-05-02
2025,11,9,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,4137,3418,2025-11-09
2025,12,17,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,3598,3488,2025-12-17
2025,5,23,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,3805,3644,2025-05-23
2025,10,30,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3263,3090,2025-10-30
2025,12,28,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,1099,1036,2025-12-28
2025,11,19,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3333,3133,2025-11-19
2025,8,31,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,1684,1551,2025-08-31
2025,7,12,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,1484,1350,2025-07-12
2025,4,10,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,3333,3202,2025-04-10
2025,12,5,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3291,2953,2025-12-05
2025,9,24,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3270,3080,2025-09-24
2025,7,8,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2640,2470,2025-07-08
2025,2,28,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,4477,4172,2025-02-28
2025,3,12,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,4258,4051,2025-03-12
2025,1,7,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4924,4648,2025-01-07
2025,3,9,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3267,2900,2025-03-09
2025,1,3,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,4071,3721,2025-01-03
2025,11,14,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,4388,4057,2025-11-14
2025,8,16,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3644,3283,2025-08-16
2025,3,20,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,2836,2689,2025-03-20
2025,12,14,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,1369,1285,2025-12-14
2025,2,6,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,11576,10805,2025-02-06
2025,6,5,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3252,2913,2025-06-05
2025,11,18,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,3600,3463,2025-11-18
2025,3,14,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3532,3338,2025-03-14
2025,10,1,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3427,3104,2025-10-01
2025,1,7,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,16060,14751,2025-01-07
2025,7,12,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,3149,2942,2025-07-12
2025,12,6,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3793,3490,2025-12-06
2025,11,23,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,2825,2545,2025-11-23
2025,9,23,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3473,3082,2025-09-23
2025,6,29,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,13328,11269,2025-06-29
2025,4,19,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4871,4366,2025-04-19
2025,9,25,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,7821,7519,2025-09-25
2025,8,2,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2092,1940,2025-08-02
2025,9,23,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,1969,1818,2025-09-23
2025,2,21,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,6567,6320,2025-02-21
2025,11,18,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4745,4522,2025-11-18
2025,11,6,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3523,3195,2025-11-06
2025,3,1,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3187,2987,2025-03-01
2025,10,21,T5 EMINONU-ALIBEYKOY,Fener,,Fatih,,,3786,3208,2025-10-21
